,MPI-ESM1-2-HR_hist_tasmin,MPI-ESM1-2-HR_hist_tas,MPI-ESM1-2-HR_hist_hurs,MPI-ESM1-2-HR_hist_sfcWind,MPI-ESM1-2-HR_hist_rlds,MPI-ESM1-2-HR_hist_rsds,MPI-ESM1-2-HR_hist_huss,MPI-ESM1-2-HR_hist_tasmax,FGOALS-g3_hist_sfcWind,FGOALS-g3_hist_tasmin,FGOALS-g3_hist_tasmax,FGOALS-g3_hist_huss,FGOALS-g3_hist_rlds,FGOALS-g3_hist_rsds,FGOALS-g3_hist_tas,BCC-CSM2-MR_hist_tasmin,BCC-CSM2-MR_hist_rsds,BCC-CSM2-MR_hist_rlds,BCC-CSM2-MR_hist_huss,BCC-CSM2-MR_hist_tas,BCC-CSM2-MR_hist_sfcWind,BCC-CSM2-MR_hist_tasmax,NorESM2-MM_hist_hurs,NorESM2-MM_hist_tasmax,NorESM2-MM_hist_rlds,NorESM2-MM_hist_huss,NorESM2-MM_hist_tas,NorESM2-MM_hist_sfcWind,NorESM2-MM_hist_tasmin,CMCC-ESM2_hist_tasmax,CMCC-ESM2_hist_sfcWind,CMCC-ESM2_hist_tas,CMCC-ESM2_hist_tasmin,CMCC-ESM2_hist_rlds,CMCC-ESM2_hist_rsds,CMCC-ESM2_hist_huss,EC-Earth3_hist_tas,EC-Earth3_hist_tasmax,EC-Earth3_hist_sfcWind,EC-Earth3_hist_huss,EC-Earth3_hist_rlds,EC-Earth3_hist_rsds,EC-Earth3_hist_tasmin,EC-Earth3_hist_hurs,CESM2_hist_rlds,CESM2_hist_rsds,CESM2_hist_huss,UKESM1-0-LL_hist_rsds,MRI-ESM2-0_hist_rsds,MRI-ESM2-0_hist_rlds,MRI-ESM2-0_hist_huss,MRI-ESM2-0_hist_tas,MRI-ESM2-0_hist_tasmin,MRI-ESM2-0_hist_tasmax,MRI-ESM2-0_hist_sfcWind,GFDL-CM4_hist_tasmax,GFDL-CM4_hist_huss,GFDL-CM4_hist_rlds,GFDL-CM4_hist_rsds,GFDL-CM4_hist_sfcWind,GFDL-CM4_hist_tasmin,GFDL-CM4_hist_tas,CNRM-ESM2-1_hist_hurs,CNRM-ESM2-1_hist_tasmax,CNRM-ESM2-1_hist_huss,CNRM-ESM2-1_hist_rsds,CNRM-ESM2-1_hist_rlds,CNRM-ESM2-1_hist_tas,CNRM-ESM2-1_hist_tasmin
1950-12-31,285.42334,292.19257,71.045364,3.2150745,353.5058,230.44807,0.011516722,299.0532,3.2227283,283.521,298.55652,0.010675566,346.93335,229.86168,293.0457,285.8662,229.30205,342.43793,0.010841141,291.78015,3.2412417,297.71417,73.86507,298.4488,347.66705,0.011221329,291.86203,3.2591138,285.33118,298.63736,3.516267,293.16336,286.91818,351.93457,231.42383,0.0109892115,292.43698,299.76825,3.5520422,0.011426268,350.28955,236.0092,286.7497,65.92688,339.26675,235.23367,0.0100896675,238.05888,230.69862,349.7235,0.011206406,291.15936,284.96368,298.19724,3.3061793,296.83905,0.01171667,349.1334,227.19507,3.347576,285.80826,292.5339,71.453636,297.30804,0.010172959,229.19113,339.78873,290.94012,284.64145
1951-12-31,284.5246,291.07596,71.46639,3.2678936,342.6129,225.40796,0.01082848,294.40924,3.2010808,284.46677,299.2872,0.011297425,349.79596,228.97191,293.04953,284.44516,232.50865,345.85886,0.011481115,265.8777,3.3024461,299.42365,73.48754,299.10275,351.62497,0.011543277,293.28278,3.3583658,287.4505,297.14066,3.3449452,291.18082,285.21796,347.8932,227.91078,0.010953294,292.55124,298.88037,3.521091,0.010501936,345.88,233.71104,284.62613,66.92087,348.0838,225.58841,0.01111172,229.81934,228.68114,348.97067,0.011584018,291.74048,285.99744,298.4059,3.1985826,297.4006,0.011270993,349.39682,233.81708,3.077949,286.0878,292.15985,71.41067,299.43292,0.011159561,232.51984,347.8556,292.92978,286.46707
1952-12-31,282.97855,291.29962,65.69555,3.3834598,342.60336,237.09012,0.010317191,298.90317,3.255822,285.20602,298.64972,0.010503256,344.11124,232.55527,291.52597,286.36337,230.11388,349.4974,0.011311836,292.53217,3.3531451,297.9243,74.54271,297.4351,352.51193,0.011541406,292.58463,3.3558815,286.94464,297.5473,3.165275,291.49417,285.44083,342.69077,226.99257,0.010956874,291.19592,294.36597,3.2525992,0.011343643,348.693,222.92145,284.7505,72.532906,352.278,227.25389,0.011952767,236.58746,231.49487,348.02084,0.011359472,290.896,283.33334,297.70584,3.3024695,298.02875,0.011516581,349.53983,226.93729,3.110498,286.55853,292.29242,68.4544,298.4412,0.010447582,229.7927,343.3219,291.3382,285.05377
1953-12-31,283.5725,292.399,67.9688,3.3092632,344.8154,232.80792,0.010941246,297.18323,3.307682,285.3134,297.02527,0.011273317,345.98557,228.72198,291.14752,286.08023,233.78807,355.284,0.011548226,293.97247,3.2681527,300.2664,73.842255,298.78915,349.11548,0.011560871,292.10065,3.2063036,287.1443,298.66656,3.4006763,292.65045,286.62628,347.46628,229.05342,0.011124365,292.06,296.6109,3.3391368,0.010411898,344.34753,233.4142,285.7909,67.56711,353.09286,228.46124,0.011750501,229.28745,234.5511,348.9091,0.010743832,293.44666,282.4189,300.4857,3.2976532,297.42526,0.011110623,347.4895,235.44392,3.2872782,286.0564,290.88,74.94305,297.69717,0.011246904,228.96524,345.00616,291.5277,283.7113
1954-12-31,283.0579,292.71643,65.9848,3.264965,345.91122,232.9808,0.010935639,299.2024,3.1730773,284.22815,295.45673,0.010739442,343.46902,229.9905,290.23114,285.48328,222.69351,352.74957,0.011614335,291.95294,3.1016955,297.6281,75.33876,297.49295,349.53214,0.011727548,292.58755,3.274976,286.056,297.47183,3.6253955,292.50232,286.70004,349.46988,228.70578,0.011026513,291.44308,296.69263,3.3689148,0.010791695,340.00192,229.21957,283.7844,69.56519,348.20605,232.96735,0.01096299,228.05144,226.95427,353.08664,0.0114969555,291.46622,284.61163,297.50464,3.2393548,297.259,0.01108866,351.9237,233.10773,3.3274267,285.97794,291.6249,77.30332,295.4858,0.011513221,231.06482,345.04642,289.5809,284.5823
1955-12-31,285.5243,290.7664,72.13871,3.2092474,344.26862,227.49178,0.01106212,297.6402,3.3784535,284.91583,297.25528,0.0107040005,344.09717,228.13954,289.49368,286.44308,230.30655,346.53888,0.011096662,291.81876,3.3625307,298.8705,74.140526,298.00693,348.34967,0.01125828,292.25192,3.3540463,285.68384,296.86722,3.364447,291.1387,286.2095,346.04755,227.83032,0.010680933,293.2391,299.40958,3.426041,0.011443311,351.9189,231.70853,284.72943,69.73738,345.9941,232.71535,0.011035057,227.85612,230.28856,347.95682,0.011341898,291.55124,284.3528,297.99023,3.2323594,297.27713,0.011070267,348.86487,231.67279,3.2142677,286.1859,291.7457,73.01975,297.51874,0.010965289,229.7036,346.3216,290.37274,284.9936
1956-12-31,286.25375,292.36002,68.679665,3.2257166,346.44138,229.76184,0.010877473,295.06833,3.2876618,286.88968,297.4935,0.011226833,347.84753,229.65161,292.1937,285.25974,232.69432,351.19946,0.01146254,292.92288,3.230143,298.94925,70.61104,299.22208,348.0371,0.010956678,292.9902,3.553377,285.9659,296.953,3.1909223,290.20135,285.074,343.85562,224.87622,0.010773803,290.9731,296.93466,3.2035453,0.010920699,346.4868,226.07852,285.754,69.673325,343.84796,225.59004,0.011019172,231.41306,231.70148,346.41162,0.011374299,292.17136,283.7415,298.2439,3.2392404,297.77542,0.011373821,349.34158,229.39314,3.2170587,285.77383,290.94293,70.244194,298.90118,0.01079724,230.16103,344.67654,292.48166,286.16956
1957-12-31,284.15625,293.3394,64.20007,3.434102,346.6634,234.99298,0.010695088,298.42548,3.2411454,280.94943,297.7285,0.011053502,346.80792,226.7322,290.9052,285.20093,230.44551,345.09262,0.011047729,292.19183,3.4221888,298.4669,74.08339,298.59106,350.2416,0.011474555,292.6956,3.362304,286.80002,298.60233,3.3457196,292.80157,286.1641,344.90982,235.97588,0.0107218,290.9374,296.89594,3.1967466,0.010731109,340.9952,227.86305,284.9513,70.90615,352.41135,226.50513,0.011636173,227.88899,233.27052,352.02094,0.011208634,292.64294,280.57556,298.32675,3.1823645,298.6076,0.011390337,351.22495,236.50185,3.3392162,285.68906,293.34918,72.49906,295.6686,0.011450812,227.73349,352.12115,292.1938,287.00003
1958-12-31,285.14532,294.3024,65.06845,3.562078,349.40833,235.70732,0.011164797,301.0467,3.4785328,285.43167,298.69965,0.009442791,337.20496,242.42442,291.66415,285.76663,231.73555,346.52765,0.011287235,292.69995,3.2534568,297.08023,74.56512,296.23322,345.85492,0.011317432,292.08606,3.4038458,284.64868,297.72903,3.4048731,292.6587,286.67648,345.78696,234.03151,0.010674708,293.333,299.3972,3.393685,0.011163303,352.72644,227.82364,287.26794,70.53102,350.05624,231.6328,0.011363131,233.68442,226.94601,347.37595,0.011299505,291.07837,282.98914,297.6278,2.8808508,293.99225,0.011612934,352.20795,228.80328,3.2774942,286.3219,292.23596,75.4442,298.41837,0.011596881,232.16675,348.63992,292.34195,285.51382
1959-12-31,284.53958,293.23,69.00551,3.2689483,351.54727,230.08804,0.011393642,299.5196,3.2350976,284.25293,298.85284,0.011215136,349.61847,229.82689,291.9461,284.2423,223.13963,343.7805,0.010965807,289.79007,3.1073089,296.09485,71.75415,298.2205,351.6095,0.011022265,292.12234,3.4799354,286.0876,300.12894,3.5623665,293.67386,286.41733,344.44742,238.77748,0.010347319,292.6703,298.96686,3.2892137,0.011215602,348.5453,229.93715,285.52765,68.90228,347.5512,230.8298,0.011587156,228.16472,229.05795,347.61914,0.0113041345,291.96756,283.77835,297.78647,3.163993,298.1687,0.011074067,350.8959,232.79453,3.246675,286.08572,292.96173,74.74929,294.57883,0.011408614,230.28566,345.70636,291.9786,285.2048
